Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",TEEBOX,"JL DIPONEGOR0 NO 25 RT. 03/RW. 06, BELAKANG TANGSI, KEC. PADANG BARAT, KOTA PADANG 25110",0751-23175; 0751-0751025609
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","TERRA ZONE, PT","PARIK RANTANG RT. 01/RW. 03, PARIK RANTANG, KEC. PAYAKUMBUH BARAT, KOTA PAYAKUMBUH 26222",0752-91002
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","TERRAZONE, PT","BLOK A LANTAI 3 PASAR ATAS RT. 03/RW. 01, BENTENG PASAR ATAS, KEC. GUGUK PANJANG, KOTA BUKITTINGGI 26113",082284365000
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI",WATERBOOM SAWAHLUNTO,"AIR DINGIN, MUARO KALABAN, KEC. SILUNGKANG, KOTA SAWAH LUNTO 27435",0755-3212129
SUMATERA BARAT,"KESENIAN, HIBURAN DAN REKREASI","WEST SUMATERA INDAH, PT","KOM PONDOK INDAH B 12 RT. 02/RW. 01, GANTING PARAK GADANG, KEC. PADANG TIMUR, KOTA PADANG 25123",0751-891633
RIAU,"KESENIAN, HIBURAN DAN REKREASI",88 HOKKI GAME CENTER,"JL RIAU NO 42 RT. 03/RW. 01, KAMPUNG BARU, KEC. SENAPELAN, KOTA PEKANBARU 28154",0761-24688
RIAU,"KESENIAN, HIBURAN DAN REKREASI",88 ZONE,"JL PEPAYA KOMPLEK PLAZA CITRA NO 78 RT. 04/RW. 03, JADIREJO, KEC. SUKAJADI, KOTA PEKANBARU 28126",08126812523
RIAU,"KESENIAN, HIBURAN DAN REKREASI",AMAZONE,"MALL SKA RT. 02/RW. 72, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28291",085278695590
RIAU,"KESENIAN, HIBURAN DAN REKREASI",ARENA,"JL KUANTAN RAYA RT. 02/RW. 03, SEKIP, KEC. LIMAPULUH, KOTA PEKANBARU 28142",0761-20808
RIAU,"KESENIAN, HIBURAN DAN REKREASI",ARENA ENTERTEMEN,"JL TAMBUSAI KOMP SENTRA NANGKA MAS RT. 04/RW. 03, KAMPUNG MELAYU, KEC. SUKAJADI, KOTA PEKANBARU 28124",08127655549
RIAU,"KESENIAN, HIBURAN DAN REKREASI","BERKABAR MEDIA NUSANTARA, PT","JL PROF M YAMIN RT. 10, PANGKALAN SESAI, KEC. DUMAI BARAT, KOTA D U M A I 28824",0811758720
RIAU,"KESENIAN, HIBURAN DAN REKREASI",CAFE DAN BILYARD NEW HOLLYWOOD,"JL KUANTAN RAYA RT. 03/RW. 02, SEKIP, KEC. LIMAPULUH, KOTA PEKANBARU 28142",
RIAU,"KESENIAN, HIBURAN DAN REKREASI","CAHAYA RATNA GROUP, PT","JL LINTAS PEKANBARU-DURI RT. 01/RW. 05, KANDIS KOTA, KEC. KANDIS, KAB. S I A K 28686",082171720017
RIAU,"KESENIAN, HIBURAN DAN REKREASI",DIVA KARAOKE,"PERKANTORAN SUDIRMAN RAYA RT. 02/RW. 16, TENGKERANG TENGAH, KEC. MARPOYAN DAMAI, KOTA PEKANBARU 28282",0761-7892290
RIAU,"KESENIAN, HIBURAN DAN REKREASI","DRIVING RANCE GOLF, PT","JL SOEKARNO HATTA RT. 04/RW. 08, TENGKERANG BARAT, KEC. MARPOYAN DAMAI, KOTA PEKANBARU 28282",0761-563760
RIAU,"KESENIAN, HIBURAN DAN REKREASI",DS D MUSIK INTERTAINMENT,"BATANG KUMU RT. 04/RW. 01, BATANG KUMU, KEC. TAMBUSAI, KAB. ROKAN HULU 28558",
RIAU,"KESENIAN, HIBURAN DAN REKREASI",D'TONE FAMILY KARAOKE,"JL JENDRAL SUDIRMAN KOMP RUKO MALAHAYATI RT. 03/RW. 21, AIR JAMBAN, KEC. MANDAU, KAB. BENGKALIS 28784",0765-596775
RIAU,"KESENIAN, HIBURAN DAN REKREASI",ELEKTRONIK MEGA INDO,"MALL SKA RT. 02/RW. 12, DELIMA, KEC. TAMPAN, KOTA PEKANBARU 28297",021-6477666
