Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG UDANG DAN IKAN <TOKE LI>,"DUSUN LAMA GAMPONG KEUDE, KAMPUNG KEUDE, KEC. PEUDAWA, KAB. ACEH TIMUR",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",PEDAGANG UDANG INDUK <ISMAIL HAMZAH>,"DUSUN KRUENG BARO, BLANG BETRA, KEC. PEUREULAK, KAB. ACEH TIMUR 24453 6060676",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","SEPAKAT MAJU, CV <DARWADI>","BLANG MEE, SEUNEUBOK RAMBONG, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24454",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",SINAR MELATI <SYAFRUDDIN>,"DUSUN TEUNGOH, KAMPUNG KEUDE, KEC. DARUL AMAN, KAB. ACEH TIMUR 24455",085261191991
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO FAUZAN,"DUSUN PETUA CUT, LHOK DALAM, KEC. PEUREULAK, KAB. ACEH TIMUR 24453 7025018",
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO SARI BARU <SAFRUDDIN>,"JL. JENDRAL SUDIRMAN, KEUDE ACEH, KEC. IDI RAYEUK, KAB. ACEH TIMUR 24458",60713100
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR",TOKO YUTINA,"JL. RANTO PANJANG BEUSA SEBERANG, BEUSA SEBERANG, KEC. PEUREULAK BARAT, KAB. ACEH TIMUR 24453",97612680
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","MINTANA BARU, UD","JL. JEND SUDIRMAN, TAKENGON TIMUR, KEC. LUT TAWAR, KAB. ACEH TENGAH 24511",60240968
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","SIANYU PERKASA, PT","JL. LEBE KADER KEMILI, KEMILI, KEC. BEBESEN, KAB. ACEH TENGAH 24552",06222666
ACEH,"PERDAGANGAN BESAR DAN ECERAN, REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR","SUMBER TENAGA BIRU, PT","JL. LEBE KADER, BLANG KOLAK I, KEC. BEBESEN, KAB. ACEH TENGAH 24552",61335292
