Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WONG SOLO,"JL NYAK ADAM KAMIL II, NEUSU JAYA, KEC. BAITURRAHMAN 23243",082363011800
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,YAKIN RASA,"JL AHMAD YANI, PEUNAYONG, KEC. KUTA ALAM 23122",081362624919
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CASANEMO HOTEL,"JL DAMAI , UJONG KAREUNG, KEC. SUKAJAYA 23521",081362999942
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,"PULAU WEH RESORT SELAM, PT","JL KM 0 JURONG, IBOIH, KEC. SUKAKARYA 23512",0652-3324919
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,RESORT <FREDERICK ROUSSEAN>,"JL KH AGUS SALIM, IE MEULEE, KEC. SUKAJAYA 23521",0652-21444
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HARMONI HOTEL,"JL AHMAD YANI NO 222, PAYA BUJOK SEULEUMAK, KEC. LANGSA BARO 24415",0641-23000; 0641-7444236
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KARTIKA HOTEL,"JL JEND A YANI NO 214, GAMPONG JAWA, KEC. LANGSA KOTA 24416",0641-21727; 0641-424242
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CALIFORNIA FRIED CHICKEN,"JL AHMAD YANI, GAMPONG JAWA, KEC. LANGSA KOTA 24416",081267005094
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,SIMPANG RAYA RUMAH MAKAN,"JL TM ZEIN, GAMPONG JAWA, KEC. LANGSA KOTA 24416",082173127754
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WARUNG MAKAN PAHE II,"JL TM ZEIN NO 79, PEUKAN LANGSA, KEC. LANGSA KOTA 24412",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HARUN SQUARE HOTEL,"JL SAMUDERA BARU NO 1, SIMPANG EMPAT, KEC. BANDA SAKTI",0645-630009; 0645-630545
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,LIDO GRAHA HOTEL,"JL MERDEKA TIMUR CUNDA, UTEUN KOT, KEC. MUARA DUA",0645-42525; 0645-631483
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AYAM PENYET PAK ULIS,"JL SUKARAMAI, LHOKSEUMAWE, KEC. BANDA SAKTI 24351",
